??_A,,,,
t,x,,x2,v
0.00 ,27.16 ,,-0.00 ,2.81106655
0.03 ,28.09 ,,0.09 ,5.518676883
0.07 ,29.93 ,,0.28 ,7.382450364
0.10 ,32.39 ,,0.52 ,9.628647223
0.13 ,35.60 ,,0.84 ,10.24964131
0.17 ,39.02 ,,1.19 ,11.73836366
0.20 ,42.93 ,,1.58 ,13.44616281
0.23 ,47.42 ,,2.03 ,13.63733825
0.27 ,51.96 ,,2.48 ,14.94156495
0.30 ,56.95 ,,2.98 ,15.88679678
0.33 ,62.24 ,,3.51 ,14.84658352
0.37 ,67.19 ,,4.00 ,14.55695248
0.40 ,72.04 ,,4.49 ,14.81200429
0.43 ,76.98 ,,4.98 ,14.26605841
0.47 ,81.74 ,,5.46 ,13.12858938
0.50 ,86.12 ,,5.90 ,12.24658878
0.53 ,90.20 ,,6.30 ,11.61774455
0.57 ,94.07 ,,6.69 ,11.88841834
0.60 ,98.04 ,,7.09 ,9.794513087
0.63 ,101.30 ,,7.41 ,9.471256287
0.67 ,104.46 ,,7.73 ,8.641837135
0.70 ,107.34 ,,8.02 ,7.740596029
0.73 ,109.92 ,,8.28 ,6.544560818
0.77 ,112.10 ,,8.49 ,5.603344839
0.80 ,113.97 ,,8.68 ,4.852158809
0.83 ,115.59 ,,8.84 ,3.335257394
0.87 ,116.70 ,,8.95 ,2.437275854
0.90 ,117.51 ,,9.04 ,1.99337962
0.93 ,118.18 ,,9.10 ,0.488340688
0.97 ,118.34 ,,9.12 ,0.030495197
1.00 ,118.35 ,,9.12 ,-0.596694675
1.03 ,118.15 ,,9.10 ,-1.932151087
1.07 ,117.51 ,,9.03 ,-2.2059821
1.10 ,116.77 ,,8.96 ,-3.822362017
1.13 ,115.50 ,,8.83 ,-3.697660253
1.17 ,114.26 ,,8.71 ,-4.619033944
1.20 ,112.72 ,,8.56 ,-5.647264446
1.23 ,110.84 ,,8.37 ,-6.498760764
1.27 ,108.67 ,,8.15 ,-6.297034689
1.30 ,106.58 ,,7.94 ,-7.906003394
1.33 ,103.94 ,,7.68 ,-7.802983092
1.37 ,101.34 ,,7.42 ,-6.87689787
