t,x,,xc,v
0.03,-154.59,,0.19,5.85
0.07,-153.53,,0.43,7.19
0.1,-152.41,,0.68,7.54
0.13,-150.72,,1.07,11.43
0.17,-148.96,,1.46,11.92
0.2,-147.14,,1.87,12.29
0.23,-145.13,,2.33,13.6
0.27,-142.79,,2.85,15.81
0.3,-140.62,,3.34,14.69
0.33,-138.37,,3.85,15.17
0.37,-136.36,,4.3,13.58
0.4,-134.3,,4.77,13.93
0.43,-132.45,,5.18,12.53
0.47,-130.62,,5.6,12.37
0.5,-128.84,,6,12.06
0.53,-127.31,,6.34,10.33
0.57,-126,,6.64,8.83
0.6,-125.23,,6.81,5.2
0.63,-124.38,,7,5.77
0.67,-123.59,,7.18,5.36
0.7,-122.73,,7.37,5.81
0.73,-122.37,,7.45,2.41
0.77,-122.21,,7.49,1.07
0.8,-122.2,,7.49,0.11
0.83,-122.2,,7.49,-0.03
0.87,-122.21,,7.49,-0.04
0.9,-122.21,,7.49,-0.01
0.93,-122.22,,7.49,-0.1
0.97,-122.33,,7.46,-0.74
1,-122.57,,7.41,-1.63
1.03,-122.49,,7.43,-2.18
1.07,-122.9,,7.34,-2.73
1.1,-123.04,,7.3,-0.94
1.13,-123.13,,7.28,-0.62
1.17,-122.97,,7.32,-0.64
1.2,-123.07,,7.3,-0.66
1.23,-122.92,,7.33,0.97
1.27,-122.47,,7.43,3.04
1.3,-122.19,,7.5,1.93
1.33,-121.62,,7.62,3.82
1.37,-121.12,,7.74,3.39
1.4,-120.31,,7.92,5.52
1.43,-119.45,,8.11,5.76
1.47,-118.66,,8.29,5.39
1.5,-117.91,,8.46,5.07
1.53,-117.03,,8.66,5.94
1.57,-116.14,,8.86,5.96
1.6,-115.21,,9.07,6.29
1.63,-114.17,,9.3,7.09
1.67,-113.15,,9.53,6.89
1.7,-112.23,,9.74,6.21
1.73,-111.21,,9.97,6.87
1.77,-110.31,,10.17,6.09
1.8,-109.32,,10.4,6.71
1.83,-108.4,,10.6,6.22
1.87,-107.55,,10.79,5.72
1.9,-106.79,,10.96,5.11
1.93,-106.2,,11.1,4.04
1.97,-105.39,,11.28,5.44
2,-104.99,,11.37,2.7
2.03,-104.24,,11.54,5.08
2.07,-103.86,,11.62,2.56
2.1,-103.3,,11.75,3.82
2.13,-102.97,,11.83,2.2
2.17,-102.72,,11.88,1.68
2.2,-102.26,,11.99,3.17
2.23,-101.98,,12.05,1.86
2.27,-101.35,,12.19,4.26
2.3,-101.16,,12.23,1.31
2.33,-100.83,,12.31,2.22
2.37,-100.36,,12.41,3.16
2.4,-100.08,,12.48,1.88
2.43,-99.45,,12.62,4.29
2.47,-99.21,,12.67,1.64
2.5,-98.48,,12.84,4.89
2.53,-98.15,,12.91,2.22
2.57,-97.45,,13.07,4.75
2.6,-97.01,,13.17,2.97
2.63,-96.37,,13.31,4.33
2.67,-95.89,,13.42,3.29
2.7,-95.27,,13.56,4.16
2.73,-94.48,,13.74,5.31
2.77,-94.01,,13.85,3.22
2.8,-93.23,,14.02,5.23
2.83,-92.4,,14.21,5.62
2.87,-91.76,,14.35,4.35
2.9,-91.14,,14.49,4.22
2.93,-90.26,,14.69,5.93
2.97,-89.46,,14.87,5.43
